User,3. author email,Authors,document ID,document PY,document title,3. abstract,framing_unit ['Interaction social comparison and reward'],5. framing_unit -888,framing_unit CO2,5. framing_unit Color,5. framing_unit colors,framing_unit Energy efficiency (R value),framing_unit health,framing_unit kWh,5. framing_unit None,framing_unit other environmental framing,framing_unit Reward ($),framing_unit savings $,framing_unit therms (heat),intervention base_data_collection,intervention co2_savings_calculated,interventionDuration,interventionFollowup,intervention medium,Awareness Campaign,Bills,co-investments1,Commitment strategies,Competition,5. intervention subtype name consumption,Critical Peak Pricing,Dynamic Pricing,Gamification,Goal setting,Historical,Home audits,Home Energy Report,In home display,Moral suasion,Peak Load Pricing,peer comparison,Real-time Pricing,Rewards,tips,ToU,intervention timing,interventionTreatmentPeriod,Baseline Consumption,Opt_in,Randomisation method,exclusion reason,Notes: Coefficient,Notes: Difference of means,Notes: Doc level,Notes: General variables,Notes: Sample size,Notes: Significance,Notes: Study scope,Notes: Uncertainty,coefficient,coefficient_sd,coefficient_sd_type,control_mean,control_sample_size,control_sd,control_type,controls Electricity use,controls Energy prices,controls Environmental attitudes,controls HH controls (demographics),controls None - base model,controls Residence controls,controls Seasonal controls,controls Weather controls,dependent_variable,diff_mean,effect_direction,geographic_location,geographic_scope,number_of_observations,p_value,page,pooled_sd,significance_bound,significance_test,statistical_technique,study_design,test_statistic,effect test_tails,total_sample_size,treated_mean,treated_sd,treatment_sample_size,underlying_source,InterventionID,Rebound,multicoded,duplicates,MonetaryIncentives,Information,Feedback,SocialComparison,Motivation,inter_med_mail,inter_med_webportal,inter_med_homevisit,inter_med_inhomedisplay,inter_med_meter,inter_med_poster,inter_time_ondemand,inter_time_daily,inter_time_week,inter_time_month,inter_time_h1,inter_time_h2,inter_time_higher,city,state,country,r_coefficient,smd1,smd2,smd,zi,var_smd,vi,PercentChange,All,ElectricityUse,ElectricityPrice,EnvironmentAttitudes,HouseholdType,ResidenceType,Season,Weather,Region,StatsMethod,StudyDesign,Control,BaselineConsumption,InterventionDuration,Randomisation,OptedIn,After2000,StudyYear,Followup,Structural
java,delmas@ucla.edu,"Delmas, MA; Lessem, N",808575,2014,Saving power to conserve your reputation? The effectiveness of private versus public information,"Environmental damage is often an unseen byproduct of other activities. Disclosing environmental impact privately to consumers can reduce the costs and/or increase the moral benefits of conservation behaviors, while publicly disclosing such information can provide an additional motivation for conservation - cultivating a green reputation. In a unique field experiment in the residence halls at the University of California - Los Angeles, we test the efficacy of detailed private and public information on electricity conservation. Private information was given through real-time appliance level feedback and social norms over usage, and public information was given through a publicly visible conservation rating. Our analysis is based on 7,120 daily observations about energy use from heating and cooling, lights and plug load for 66 rooms collected over an academic year. Our results suggest that while private information alone was ineffective, public information combined with private information motivated a 20 percent reduction in electricity consumption achieved through lower use of heating and cooling. Public information was particularly effective for above median energy users. (C) 2014 Elsevier Inc. All rights reserved.",0,NA,0,NA,NA,0,0,1,NA,0,0,0,0,6,0,18,5,['Web portal'],0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,['On demand'],12,2847,1,block (room) level,NA,NA,NA,Batch java,NA,NA,NA,NA,NA,441.692,1142.924,Bootstrapped clustered standard errors,NA,23,NA,actual control,0,0,0,1,0,1,1,1,Daily electricity consumption in Wh,NA,-1,"Los Angeles, California, United States",University,7120,0.1,363,NA,2,t-test,Time & Household Fixed effects regression,Control-treatment,0.3865,2,66,NA,NA,22,Actual,403,0,single,,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Los Angeles, California,United States,0.047521113,NA,NA,NA,0.047556933,NA,0.015873016,5.662717949,1,0,0,0,1,1,1,1,United States,PanelEffects,Control-treatment,1,2847,18,Yes,Yes,After,2014,1,
java,delmas@ucla.edu,"Delmas, MA; Lessem, N",808575,2014,Saving power to conserve your reputation? The effectiveness of private versus public information,"Environmental damage is often an unseen byproduct of other activities. Disclosing environmental impact privately to consumers can reduce the costs and/or increase the moral benefits of conservation behaviors, while publicly disclosing such information can provide an additional motivation for conservation - cultivating a green reputation. In a unique field experiment in the residence halls at the University of California - Los Angeles, we test the efficacy of detailed private and public information on electricity conservation. Private information was given through real-time appliance level feedback and social norms over usage, and public information was given through a publicly visible conservation rating. Our analysis is based on 7,120 daily observations about energy use from heating and cooling, lights and plug load for 66 rooms collected over an academic year. Our results suggest that while private information alone was ineffective, public information combined with private information motivated a 20 percent reduction in electricity consumption achieved through lower use of heating and cooling. Public information was particularly effective for above median energy users. (C) 2014 Elsevier Inc. All rights reserved.",0,NA,0,NA,NA,0,0,1,NA,0,1,0,0,6,0,13,5,"['Web portal', 'Posters']",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,"['On demand', 'weekly']",7,2847,1,block (room) level,NA,NA,NA,Batch java,NA,NA,NA,NA,NA,1504.371,626.157,Bootstrapped clustered standard errors,NA,23,NA,actual control,0,0,0,1,0,1,1,1,Daily electricity consumption in Wh,NA,-1,"Los Angeles, California, United States",City,7120,0.01,363,NA,1,t-test,Time & Household Fixed effects regression,Control-treatment,2.4025,2,66,NA,NA,22,Actual,404,0,single,,1,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,Los Angeles, California,United States,0.283586696,NA,NA,NA,0.291578152,NA,0.015873016,19.28680769,1,0,0,0,1,1,1,1,United States,PanelEffects,Control-treatment,1,2847,13,Yes,Yes,After,2014,1,
khat,jacarrol@tcd.ie,"Carroll, J; Lyons, S; Denny, E",808730,2014,Reducing household electricity demand through smart metering: The role of improved information about energy saving,"The international roll out of residential smart meters has increased considerably in recent years. The improved consumption feedback provided, and in particular, the installation of in-house displays, has been shown to significantly reduce residential electricity demand in some international trials. This paper attempts to uncover the underlying drivers of such information-led reductions by exploring two research questions. First, does feedback improve a household's stock of information about potential energy reducing behaviours? And second, do improvements in such information help explain the demand reductions associated with the introduction of smart metering and time-of-use tariffs? Data is from a randomised controlled smart metering trial (Ireland) which also collected extensive information on household attitudes towards energy conservation and self-reported stocks of information related to energy saving. As with previous results in Ireland, we find that participation in a smart metering programme with time-of-use tariffs significantly reduces demand. Although treated households also increased their selfreported energy-reducing information, such improvements are not correlated with demand reductions in the short-run. Given this result, it is possible that feedback and other information provided in the context of smart metering are mainly effective in reducing and shifting demand because they act as a reminder and motivator. (C)2014 Elsevier B.V. All rights reserved.",0,NA,0,NA,NA,0,0,1,NA,0,0,0,0,26,0,78,0,['Mail'],0,0,0,0,0,NA,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,monthly,52,2046,0,Household level,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.333,21.33,-999,NA,758,NA,actual control,0,0,0,0,1,0,0,0,Reduction in HH energy consumption over base kwh,NA,-1,Ireland,Country,5444,0.001,-999,NA,3,t-test,Household Fixed effects regression,Difference in Difference,2.828,2,2722,NA,NA,672,Irish residential smart meter trialwas carried out between 2009 and 2010,168,0,single,,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,Ireland,0.054125045,NA,NA,NA,0.054177992,NA,3.68E-04,2.948826979,1,0,0,0,0,0,0,0,Europe excl. UK,PanelEffects,DID,1,2046,78,Yes,No,After,2014,0,
khat,jacarrol@tcd.ie,"Carroll, J; Lyons, S; Denny, E",808730,2014,Reducing household electricity demand through smart metering: The role of improved information about energy saving,"The international roll out of residential smart meters has increased considerably in recent years. The improved consumption feedback provided, and in particular, the installation of in-house displays, has been shown to significantly reduce residential electricity demand in some international trials. This paper attempts to uncover the underlying drivers of such information-led reductions by exploring two research questions. First, does feedback improve a household's stock of information about potential energy reducing behaviours? And second, do improvements in such information help explain the demand reductions associated with the introduction of smart metering and time-of-use tariffs? Data is from a randomised controlled smart metering trial (Ireland) which also collected extensive information on household attitudes towards energy conservation and self-reported stocks of information related to energy saving. As with previous results in Ireland, we find that participation in a smart metering programme with time-of-use tariffs significantly reduces demand. Although treated households also increased their selfreported energy-reducing information, such improvements are not correlated with demand reductions in the short-run. Given this result, it is possible that feedback and other information provided in the context of smart metering are mainly effective in reducing and shifting demand because they act as a reminder and motivator. (C)2014 Elsevier B.V. All rights reserved.",0,NA,0,NA,NA,0,0,1,NA,0,0,0,0,26,0,78,0,['In-home display'],0,0,0,0,0,NA,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,['On demand'],52,2046,0,Household level,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.033,21.648,-999,NA,758,NA,actual control,0,0,0,0,1,0,0,0,Reduction in HH energy consumption over base kwh,NA,-1,Ireland,Country,5444,0.05,-999,NA,1,t-test,Household Fixed effects regression,Difference in Difference,1.987,2,2722,NA,NA,636,Irish residential smart meter trialwas carried out between 2009 and 2010,169,0,single,,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,NA,NA,Ireland,0.038057396,NA,NA,NA,0.038075786,NA,3.68E-04,2.103274682,1,0,0,0,0,0,0,0,Europe excl. UK,PanelEffects,DID,1,2046,78,Yes,No,After,2014,0,
khat,jacarrol@tcd.ie,"Carroll, J; Lyons, S; Denny, E",808730,2014,Reducing household electricity demand through smart metering: The role of improved information about energy saving,"The international roll out of residential smart meters has increased considerably in recent years. The improved consumption feedback provided, and in particular, the installation of in-house displays, has been shown to significantly reduce residential electricity demand in some international trials. This paper attempts to uncover the underlying drivers of such information-led reductions by exploring two research questions. First, does feedback improve a household's stock of information about potential energy reducing behaviours? And second, do improvements in such information help explain the demand reductions associated with the introduction of smart metering and time-of-use tariffs? Data is from a randomised controlled smart metering trial (Ireland) which also collected extensive information on household attitudes towards energy conservation and self-reported stocks of information related to energy saving. As with previous results in Ireland, we find that participation in a smart metering programme with time-of-use tariffs significantly reduces demand. Although treated households also increased their selfreported energy-reducing information, such improvements are not correlated with demand reductions in the short-run. Given this result, it is possible that feedback and other information provided in the context of smart metering are mainly effective in reducing and shifting demand because they act as a reminder and motivator. (C)2014 Elsevier B.V. All rights reserved.",0,NA,0,NA,NA,0,0,1,NA,0,0,0,0,26,0,78,0,['Mail'],0,0,0,0,0,NA,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,bi-monthly,52,2046,0,Household level,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.127,21.467,-999,NA,758,NA,actual control,0,0,0,0,1,0,0,0,Reduction in HH energy consumption over base kwh,NA,-1,Ireland,Country,5444,0.1,-999,NA,2,t-test,Household Fixed effects regression,Difference in Difference,0.331,2,2722,NA,NA,656,Irish residential smart meter trialwas carried out between 2009 and 2010,170,0,single,,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,Ireland,0.006344176,NA,NA,NA,0.006344261,NA,3.68E-04,0.348338221,1,0,0,0,0,0,0,0,Europe excl. UK,PanelEffects,DID,1,2046,78,Yes,No,After,2014,0,
laura.klockenbusch@wiwi.uni-muenster.de,shoude@stanford.edu,"Houde, S; Todd, A; Sudarshan, A; Flora, JA; Armel, KC",808802,2013,Real-time Feedback and Electricity Consumption: A Field Experiment Assessing the Potential for Savings and Persistence,"Real-time information feedback delivered via technology has been reported to produce up to 20 percent declines in residential energy consumption. There are however large differences in estimates of the effect of real-time feedback technologies on energy use. In this study, we conduct a field experiment to obtain an estimate of the impact of a real-time feedback technology. Access to feedback leads to an average reduction in household electricity consumption of 5.7 percent. Significant declines persist for up to four weeks. In examining time of day reduction effects, we find that the largest reductions were observed initially at all times of the day but as time passes, morning and evening intervals show larger reductions. We find no convincing evidence that household characteristics explain heterogeneity in our treatment effects; we examine demographics, housing characteristics and psychological variables.",0,NA,0,NA,NA,0,0,1,NA,0,0,1,0,4,0,16,24,"['In-home display', 'Web portal']",0,1,0,0,0,NA,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,['On demand'],12,7874,1,household level,NA,NA,NA,"Batch 2; yes, potential duplicate?",NA,NA,NA,NA,NA,0.0567,0.021,standard error,NA,313,NA,actual control,0,0,0,0,0,0,0,1,Log Household Monthly Average kWh/day,NA,-1,",,United States",Country,161542,0.01,94,NA,1,t-test,Time & Household Fixed effects regression,Control-treatment,2.7,2,1065,NA,NA,752,-999,350,0,single,,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,NA,",",United States,0.082453223,NA,NA,NA,0.082640843,NA,9.42E-04,5.67,1,0,0,0,0,0,0,1,United States,PanelEffects,Control-treatment,1,7874,16,Yes,Yes,After,2013,1,
laura.klockenbusch@wiwi.uni-muenster.de,shoude@stanford.edu,"Houde, S; Todd, A; Sudarshan, A; Flora, JA; Armel, KC",808802,2013,Real-time Feedback and Electricity Consumption: A Field Experiment Assessing the Potential for Savings and Persistence,"Real-time information feedback delivered via technology has been reported to produce up to 20 percent declines in residential energy consumption. There are however large differences in estimates of the effect of real-time feedback technologies on energy use. In this study, we conduct a field experiment to obtain an estimate of the impact of a real-time feedback technology. Access to feedback leads to an average reduction in household electricity consumption of 5.7 percent. Significant declines persist for up to four weeks. In examining time of day reduction effects, we find that the largest reductions were observed initially at all times of the day but as time passes, morning and evening intervals show larger reductions. We find no convincing evidence that household characteristics explain heterogeneity in our treatment effects; we examine demographics, housing characteristics and psychological variables.",0,NA,0,NA,NA,0,0,1,NA,0,0,1,0,4,0,16,24,"['In-home display', 'Web portal']",0,1,0,0,0,NA,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,['On demand'],12,7096,1,household level,NA,NA,NA,"Batch 2; yes, potential duplicate?",NA,NA,NA,NA,NA,0.0497,0.0239,standard error,NA,217,NA,actual control,0,0,0,0,0,0,0,1,Log Average Hourly Electricity Consumption / Day,NA,-1,",California, United States",State,92213,0.05,94,NA,1,t-test,Time & Household Fixed effects regression,Control-treatment,2.0795,2,705,NA,NA,488,-999,351,0,single,,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,,California,United States,0.078079406,NA,NA,NA,0.078238656,NA,0.001424501,4.97,1,0,0,0,0,0,0,1,United States,PanelEffects,Control-treatment,1,7096,16,Yes,Yes,After,2013,1,
laura.klockenbusch@wiwi.uni-muenster.de,shoude@stanford.edu,"Houde, S; Todd, A; Sudarshan, A; Flora, JA; Armel, KC",808802,2013,Real-time Feedback and Electricity Consumption: A Field Experiment Assessing the Potential for Savings and Persistence,"Real-time information feedback delivered via technology has been reported to produce up to 20 percent declines in residential energy consumption. There are however large differences in estimates of the effect of real-time feedback technologies on energy use. In this study, we conduct a field experiment to obtain an estimate of the impact of a real-time feedback technology. Access to feedback leads to an average reduction in household electricity consumption of 5.7 percent. Significant declines persist for up to four weeks. In examining time of day reduction effects, we find that the largest reductions were observed initially at all times of the day but as time passes, morning and evening intervals show larger reductions. We find no convincing evidence that household characteristics explain heterogeneity in our treatment effects; we examine demographics, housing characteristics and psychological variables.",0,NA,0,NA,NA,0,0,1,NA,0,0,1,0,4,0,16,0,"['In-home display', 'Web portal']",0,1,0,0,0,NA,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,['On demand'],12,7874,1,household level,NA,NA,NA,"Batch 2; yes, potential duplicate?",NA,NA,NA,NA,NA,0.0891,0.057,standard error,NA,313,NA,actual control,0,0,0,0,0,0,0,1,Log Average Hourly Electricity Consumption / Day,NA,-1,",,United States",Country,51088,0.1,94,NA,2,t-test,Time & Household Fixed effects regression,Control-treatment,1.5632,2,1065,NA,NA,752,-999,352,0,single,,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,NA,",",United States,0.047845608,NA,NA,NA,0.047882168,NA,9.42E-04,8.91,1,0,0,0,0,0,0,1,United States,PanelEffects,Control-treatment,1,7874,16,Yes,Yes,After,2013,0,
laura.klockenbusch@wiwi.uni-muenster.de,shoude@stanford.edu,"Houde, S; Todd, A; Sudarshan, A; Flora, JA; Armel, KC",808802,2013,Real-time Feedback and Electricity Consumption: A Field Experiment Assessing the Potential for Savings and Persistence,"Real-time information feedback delivered via technology has been reported to produce up to 20 percent declines in residential energy consumption. There are however large differences in estimates of the effect of real-time feedback technologies on energy use. In this study, we conduct a field experiment to obtain an estimate of the impact of a real-time feedback technology. Access to feedback leads to an average reduction in household electricity consumption of 5.7 percent. Significant declines persist for up to four weeks. In examining time of day reduction effects, we find that the largest reductions were observed initially at all times of the day but as time passes, morning and evening intervals show larger reductions. We find no convincing evidence that household characteristics explain heterogeneity in our treatment effects; we examine demographics, housing characteristics and psychological variables.",0,NA,0,NA,NA,0,0,1,NA,0,0,1,0,4,0,16,24,"['In-home display', 'Web portal']",0,1,0,0,0,NA,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,['On demand'],12,7874,1,household level,NA,NA,NA,"Batch 2; yes, potential duplicate?",NA,NA,NA,NA,NA,0.0221,0.0482,standard error,NA,313,NA,actual control,0,0,0,0,0,0,0,1,Log Average Hourly Electricity Consumption / Day,NA,1,",,United States",Country,161542,0.1,94,NA,2,t-test,OLS regression,Control-treatment,-0.4585,2,1065,NA,NA,752,-999,353,0,single,,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,NA,",",United States,-0.014048232,NA,NA,NA,-0.014049156,NA,9.42E-04,-2.21,1,0,0,0,0,0,0,1,United States,OLS,Control-treatment,1,7874,16,Yes,Yes,After,2013,1,
laura.klockenbusch@wiwi.uni-muenster.de,shoude@stanford.edu,"Houde, S; Todd, A; Sudarshan, A; Flora, JA; Armel, KC",808802,2013,Real-time Feedback and Electricity Consumption: A Field Experiment Assessing the Potential for Savings and Persistence,"Real-time information feedback delivered via technology has been reported to produce up to 20 percent declines in residential energy consumption. There are however large differences in estimates of the effect of real-time feedback technologies on energy use. In this study, we conduct a field experiment to obtain an estimate of the impact of a real-time feedback technology. Access to feedback leads to an average reduction in household electricity consumption of 5.7 percent. Significant declines persist for up to four weeks. In examining time of day reduction effects, we find that the largest reductions were observed initially at all times of the day but as time passes, morning and evening intervals show larger reductions. We find no convincing evidence that household characteristics explain heterogeneity in our treatment effects; we examine demographics, housing characteristics and psychological variables.",0,NA,0,NA,NA,0,0,1,NA,0,0,1,0,4,0,16,24,"['In-home display', 'Web portal']",0,1,0,0,0,NA,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,['On demand'],12,7874,1,household level,NA,NA,NA,"Batch 2; yes, potential duplicate?",NA,NA,NA,NA,NA,0.0939,0.0574,standard error,NA,313,NA,actual control,0,0,0,0,0,0,0,1,Log Average Hourly Electricity Consumption / Day,NA,-1,",,United States",Country,161542,0.1,94,NA,2,t-test,Time Fixed Effects,Control-treatment,1.6359,2,1065,NA,NA,752,-999,354,0,single,,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,NA,",",United States,0.050065318,NA,NA,NA,0.050107211,NA,9.42E-04,9.39,1,0,0,0,0,0,0,1,United States,PanelEffects,Control-treatment,1,7874,16,Yes,Yes,After,2013,1,
laura.klockenbusch@wiwi.uni-muenster.de,shoude@stanford.edu,"Houde, S; Todd, A; Sudarshan, A; Flora, JA; Armel, KC",808802,2013,Real-time Feedback and Electricity Consumption: A Field Experiment Assessing the Potential for Savings and Persistence,"Real-time information feedback delivered via technology has been reported to produce up to 20 percent declines in residential energy consumption. There are however large differences in estimates of the effect of real-time feedback technologies on energy use. In this study, we conduct a field experiment to obtain an estimate of the impact of a real-time feedback technology. Access to feedback leads to an average reduction in household electricity consumption of 5.7 percent. Significant declines persist for up to four weeks. In examining time of day reduction effects, we find that the largest reductions were observed initially at all times of the day but as time passes, morning and evening intervals show larger reductions. We find no convincing evidence that household characteristics explain heterogeneity in our treatment effects; we examine demographics, housing characteristics and psychological variables.",0,NA,0,NA,NA,0,0,1,NA,0,0,1,0,4,0,16,NA,"['In-home display', 'Web portal']",0,1,0,0,0,NA,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,['On demand'],12,7874,1,household level,NA,NA,NA,"Batch 2; yes, potential duplicate?",NA,NA,NA,NA,NA,0.0704,0.0669,standard error,NA,313,NA,actual control,0,0,0,1,0,0,0,1,Log Average Hourly Electricity Consumption / Day,NA,-1,United States,Country,110188,0.1,94,NA,2,t-test,Time Fixed Effects,Control-treatment,1.0523,2,1065,NA,NA,752,-999,355,0,single,,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,NA,NA,United States,0.032228427,NA,NA,NA,0.032239592,NA,9.42E-04,7.04,1,0,0,0,1,0,0,1,United States,PanelEffects,Control-treatment,1,7874,16,Yes,Yes,After,2013,0,
laura.klockenbusch@wiwi.uni-muenster.de,karen@herterenergy.com,"Herter, K; Wood, V; Blozis, S",808858,2013,"The effects of combining dynamic pricing, AC load control, and real-time energy feedback: SMUD'S 2011 Residential Summer Solutions Study","The 2011 Residential Summer Solutions Study compared the hourly load effects of three different real-time information treatments and two program options. The information treatments included: Baseline information (no real-time data), real-time Home information (whole-house data), and real-time Appliance information (data for the whole house plus three individual appliances). Compared to the Baseline group, real-time Home information lowered overall energy use by about 4 %. Real-time information at both the Home and Appliance levels had a significant effect on non-event peak loads: compared to the Baseline group, real-time Home data lowered peak load by 5 %, while Appliance data lowered peak load by 7 %. All three information treatments averaged a 1-kW (40 %) load shed during events. The customer-chosen program options included a dynamic time-of-use rate and a load control incentive program. Customers were more likely to sign up for the dynamic rate, and those who did saved significantly more peak load on both event days (> 50 % savings) and non-event days (> 20 % savings) than did those on the load control program alone. In addition, those on the dynamic rate saved twice as much on their summer bills as did those who chose to remain on the standard tiered rate. At the end of the summer, more than 90 % of participants signed up to participate again the following year.",0,NA,0,NA,NA,0,0,1,NA,0,0,1,0,12,0,24,NA,"['Mail', 'In-home display']",0,0,0,0,0,NA,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,['On demand'],12,NA,1,household level,NA,NA,NA,Batch 2,NA,NA,NA,NA,NA,11,NA,not provided,NA,89,NA,Pre-test/post test,0,0,0,0,0,0,0,1,Percent change in electricity consumption,NA,-1,"Sacramento, California, United States",City,8188,0.01,647,NA,1,t-test,Hierarchical regression,Pre-test/post-test,3.327,2,265,NA,NA,89,-999,329,0,single,,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,Sacramento, California,United States,0.200236864,NA,NA,NA,0.2029793,NA,0.003816794,11,1,0,0,0,0,0,0,1,United States,PanelEffects,PrePost,1,NA,24,Yes,Yes,After,2013,0,
laura.klockenbusch@wiwi.uni-muenster.de,karen@herterenergy.com,"Herter, K; Wood, V; Blozis, S",808858,2013,"The effects of combining dynamic pricing, AC load control, and real-time energy feedback: SMUD'S 2011 Residential Summer Solutions Study","The 2011 Residential Summer Solutions Study compared the hourly load effects of three different real-time information treatments and two program options. The information treatments included: Baseline information (no real-time data), real-time Home information (whole-house data), and real-time Appliance information (data for the whole house plus three individual appliances). Compared to the Baseline group, real-time Home information lowered overall energy use by about 4 %. Real-time information at both the Home and Appliance levels had a significant effect on non-event peak loads: compared to the Baseline group, real-time Home data lowered peak load by 5 %, while Appliance data lowered peak load by 7 %. All three information treatments averaged a 1-kW (40 %) load shed during events. The customer-chosen program options included a dynamic time-of-use rate and a load control incentive program. Customers were more likely to sign up for the dynamic rate, and those who did saved significantly more peak load on both event days (> 50 % savings) and non-event days (> 20 % savings) than did those on the load control program alone. In addition, those on the dynamic rate saved twice as much on their summer bills as did those who chose to remain on the standard tiered rate. At the end of the summer, more than 90 % of participants signed up to participate again the following year.",0,NA,0,NA,NA,0,0,1,NA,0,0,1,0,NA,0,12,NA,"['Mail', 'In-home display', 'Meter']",0,0,0,0,0,NA,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,['On demand'],12,NA,1,household level,NA,NA,NA,Batch 2,NA,NA,NA,NA,NA,5.6,NA,not provided,NA,88,NA,actual control,0,0,0,0,0,0,0,1,Percent change in electricity consumption,NA,-1,"Sacramento, California, United States",City,16284,0.01,647,NA,1,t-test,Hierarchical regression,Control-treatment,3.327,2,177,NA,NA,89,-999,330,0,single,,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,Sacramento, California,United States,0.242601943,NA,NA,NA,0.247536926,NA,0.005747126,5.6,1,0,0,0,0,0,0,1,United States,PanelEffects,Control-treatment,1,NA,12,Yes,Yes,After,2013,0,
laura.klockenbusch@wiwi.uni-muenster.de,karen@herterenergy.com,"Herter, K; Wood, V; Blozis, S",808858,2013,"The effects of combining dynamic pricing, AC load control, and real-time energy feedback: SMUD'S 2011 Residential Summer Solutions Study","The 2011 Residential Summer Solutions Study compared the hourly load effects of three different real-time information treatments and two program options. The information treatments included: Baseline information (no real-time data), real-time Home information (whole-house data), and real-time Appliance information (data for the whole house plus three individual appliances). Compared to the Baseline group, real-time Home information lowered overall energy use by about 4 %. Real-time information at both the Home and Appliance levels had a significant effect on non-event peak loads: compared to the Baseline group, real-time Home data lowered peak load by 5 %, while Appliance data lowered peak load by 7 %. All three information treatments averaged a 1-kW (40 %) load shed during events. The customer-chosen program options included a dynamic time-of-use rate and a load control incentive program. Customers were more likely to sign up for the dynamic rate, and those who did saved significantly more peak load on both event days (> 50 % savings) and non-event days (> 20 % savings) than did those on the load control program alone. In addition, those on the dynamic rate saved twice as much on their summer bills as did those who chose to remain on the standard tiered rate. At the end of the summer, more than 90 % of participants signed up to participate again the following year.",0,1,0,NA,NA,0,0,0,NA,0,0,0,0,12,0,24,NA,['-888'],0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,['-888'],12,NA,1,no,NA,NA,NA,Batch 2,NA,NA,NA,NA,NA,10.3,NA,not provided,NA,49,NA,actual control,0,0,0,0,0,0,0,1,Percent change in electricity consumption,NA,-1,"Sacramento, California, United States",City,7462,0.01,648,NA,1,t-test,Hierarchical regression,Difference in Difference,3.327,2,265,NA,NA,44,-999,331,0,single,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sacramento, California,United States,0.200236864,NA,NA,NA,0.2029793,NA,0.003816794,10.3,1,0,0,0,0,0,0,1,United States,PanelEffects,DID,1,NA,24,No,Yes,After,2013,0,
laura.klockenbusch@wiwi.uni-muenster.de,karen@herterenergy.com,"Herter, K; Wood, V; Blozis, S",808858,2013,"The effects of combining dynamic pricing, AC load control, and real-time energy feedback: SMUD'S 2011 Residential Summer Solutions Study","The 2011 Residential Summer Solutions Study compared the hourly load effects of three different real-time information treatments and two program options. The information treatments included: Baseline information (no real-time data), real-time Home information (whole-house data), and real-time Appliance information (data for the whole house plus three individual appliances). Compared to the Baseline group, real-time Home information lowered overall energy use by about 4 %. Real-time information at both the Home and Appliance levels had a significant effect on non-event peak loads: compared to the Baseline group, real-time Home data lowered peak load by 5 %, while Appliance data lowered peak load by 7 %. All three information treatments averaged a 1-kW (40 %) load shed during events. The customer-chosen program options included a dynamic time-of-use rate and a load control incentive program. Customers were more likely to sign up for the dynamic rate, and those who did saved significantly more peak load on both event days (> 50 % savings) and non-event days (> 20 % savings) than did those on the load control program alone. In addition, those on the dynamic rate saved twice as much on their summer bills as did those who chose to remain on the standard tiered rate. At the end of the summer, more than 90 % of participants signed up to participate again the following year.",0,NA,0,NA,NA,0,0,0,NA,0,0,0,0,12,0,24,0,"[""['None']""]",0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['-888'],12,NA,1,no,NA,NA,NA,Batch 2,NA,NA,NA,NA,NA,9.2,NA,not provided,NA,49,NA,actual control,0,0,0,0,0,0,0,1,Percent change in electricity consumption,NA,-1,"Sacramento, California, United States",City,7462,0.01,648,NA,1,t-test,Hierarchical regression,Difference in Difference,3.327,2,265,NA,NA,81,-999,487,0,single,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sacramento, California,United States,0.200236864,NA,NA,NA,0.2029793,NA,0.003816794,9.2,1,0,0,0,0,0,0,1,United States,PanelEffects,DID,1,NA,24,No,Yes,After,2013,0,
